input,type,link1,link2,link3,link4,link5,link6,link7,link8
s3://nets213-fabrec/pants/harem.JPG,bottom,s3://nets213-fabrec/tops/blouse.JPG,s3://nets213-fabrec/tops/button down shirt.JPG,s3://nets213-fabrec/tops/gypsy.JPG,s3://nets213-fabrec/tops/henley.JPG,s3://nets213-fabrec/tops/turtleneck.JPG,s3://nets213-fabrec/tops/polo.JPG,s3://nets213-fabrec/tops/sweater.JPG,s3://nets213-fabrec/tops/sweatshirt.JPG
s3://nets213-fabrec/pants/hot pants shorts.JPG,bottom,s3://nets213-fabrec/tops/blouse.JPG,s3://nets213-fabrec/tops/button down shirt.JPG,s3://nets213-fabrec/tops/gypsy.JPG,s3://nets213-fabrec/tops/henley.JPG,s3://nets213-fabrec/tops/turtleneck.JPG,s3://nets213-fabrec/tops/polo.JPG,s3://nets213-fabrec/tops/sweater.JPG,s3://nets213-fabrec/tops/sweatshirt.JPG
s3://nets213-fabrec/pants/jumpsuit.JPG,bottom,s3://nets213-fabrec/tops/blouse.JPG,s3://nets213-fabrec/tops/button down shirt.JPG,s3://nets213-fabrec/tops/gypsy.JPG,s3://nets213-fabrec/tops/henley.JPG,s3://nets213-fabrec/tops/turtleneck.JPG,s3://nets213-fabrec/tops/polo.JPG,s3://nets213-fabrec/tops/sweater.JPG,s3://nets213-fabrec/tops/sweatshirt.JPG
s3://nets213-fabrec/pants/leggings.JPG,bottom,s3://nets213-fabrec/tops/blouse.JPG,s3://nets213-fabrec/tops/button down shirt.JPG,s3://nets213-fabrec/tops/gypsy.JPG,s3://nets213-fabrec/tops/henley.JPG,s3://nets213-fabrec/tops/turtleneck.JPG,s3://nets213-fabrec/tops/polo.JPG,s3://nets213-fabrec/tops/sweater.JPG,s3://nets213-fabrec/tops/sweatshirt.JPG
s3://nets213-fabrec/pants/overalls.JPG,bottom,s3://nets213-fabrec/tops/blouse.JPG,s3://nets213-fabrec/tops/button down shirt.JPG,s3://nets213-fabrec/tops/gypsy.JPG,s3://nets213-fabrec/tops/henley.JPG,s3://nets213-fabrec/tops/turtleneck.JPG,s3://nets213-fabrec/tops/polo.JPG,s3://nets213-fabrec/tops/sweater.JPG,s3://nets213-fabrec/tops/sweatshirt.JPG
s3://nets213-fabrec/pants/pegged.JPG,bottom,s3://nets213-fabrec/tops/blouse.JPG,s3://nets213-fabrec/tops/button down shirt.JPG,s3://nets213-fabrec/tops/gypsy.JPG,s3://nets213-fabrec/tops/henley.JPG,s3://nets213-fabrec/tops/turtleneck.JPG,s3://nets213-fabrec/tops/polo.JPG,s3://nets213-fabrec/tops/sweater.JPG,s3://nets213-fabrec/tops/sweatshirt.JPG
s3://nets213-fabrec/pants/romper.JPG,bottom,s3://nets213-fabrec/tops/blouse.JPG,s3://nets213-fabrec/tops/button down shirt.JPG,s3://nets213-fabrec/tops/gypsy.JPG,s3://nets213-fabrec/tops/henley.JPG,s3://nets213-fabrec/tops/turtleneck.JPG,s3://nets213-fabrec/tops/polo.JPG,s3://nets213-fabrec/tops/sweater.JPG,s3://nets213-fabrec/tops/sweatshirt.JPG
s3://nets213-fabrec/pants/romper.JPG,bottom,s3://nets213-fabrec/tops/blouse.JPG,s3://nets213-fabrec/tops/button down shirt.JPG,s3://nets213-fabrec/tops/gypsy.JPG,s3://nets213-fabrec/tops/henley.JPG,s3://nets213-fabrec/tops/turtleneck.JPG,s3://nets213-fabrec/tops/polo.JPG,s3://nets213-fabrec/tops/sweater.JPG,s3://nets213-fabrec/tops/sweatshirt.JPG
s3://nets213-fabrec/pants/skort.JPG,bottom,s3://nets213-fabrec/tops/blouse.JPG,s3://nets213-fabrec/tops/button down shirt.JPG,s3://nets213-fabrec/tops/gypsy.JPG,s3://nets213-fabrec/tops/henley.JPG,s3://nets213-fabrec/tops/turtleneck.JPG,s3://nets213-fabrec/tops/polo.JPG,s3://nets213-fabrec/tops/sweater.JPG,s3://nets213-fabrec/tops/sweatshirt.JPG
s3://nets213-fabrec/pants/slacks.JPG,bottom,s3://nets213-fabrec/tops/blouse.JPG,s3://nets213-fabrec/tops/button down shirt.JPG,s3://nets213-fabrec/tops/gypsy.JPG,s3://nets213-fabrec/tops/henley.JPG,s3://nets213-fabrec/tops/turtleneck.JPG,s3://nets213-fabrec/tops/polo.JPG,s3://nets213-fabrec/tops/sweater.JPG,s3://nets213-fabrec/tops/sweatshirt.JPG
s3://nets213-fabrec/pants/sweat pants.JPG,bottom,s3://nets213-fabrec/tops/blouse.JPG,s3://nets213-fabrec/tops/button down shirt.JPG,s3://nets213-fabrec/tops/gypsy.JPG,s3://nets213-fabrec/tops/henley.JPG,s3://nets213-fabrec/tops/turtleneck.JPG,s3://nets213-fabrec/tops/polo.JPG,s3://nets213-fabrec/tops/sweater.JPG,s3://nets213-fabrec/tops/sweatshirt.JPG
